      year  week    SMN     SMT    VCI    TCI    VHI
0     1981    36  0.255  292.31  19.82  63.72  41.77
1     1981    37  0.258  291.88  30.21  51.66  40.93
2     1981    38  0.259  291.08  39.91  42.64  41.28
3     1981    39  0.256  289.75  47.88  37.60  42.74
4     1981    40  0.249  287.77  54.64  37.00  45.82
5     1981    41  0.236  284.88  60.87  43.25  52.06
6     1981    42  0.219  281.24  65.71  56.15  60.93
7     1981    43  0.194  277.53  65.17  64.36  64.76
8     1981    44  0.161  273.30  58.33  66.20  62.27
9     1981    45  0.123  269.05  45.64  65.89  55.77
10    1981    46  0.099  265.99  40.66  63.96  52.31
11    1981    47  0.086  264.01  41.53  61.45  51.49
12    1981    48  0.076  263.07  43.06  58.22  50.64
13    1981    49  0.068  262.06  41.78  56.29  49.04
14    1981    50  0.064  261.04  45.38  53.52  49.45
15    1981    51  0.059  259.85  45.92  50.40  48.16
16    1981    52  0.054  259.28  44.00  47.22  45.61
17    1982     1  0.053  260.31  45.01  39.46  42.23
18    1982     2  0.054  262.29  46.83  31.75  39.29
19    1982     3  0.055  263.82  48.13  27.24  37.68
20    1982     4  0.053  265.33  46.09  23.91  35.00
21    1982     5  0.050  265.66  41.46  26.65  34.06
22    1982     6  0.048  266.55  36.56  29.46  33.01
23    1982     7  0.048  267.84  32.17  31.14  31.65
24    1982     8  0.050  269.30  30.30  32.50  31.40
25    1982     9  0.052  270.75  28.23  35.22  31.73
26    1982    10  0.056  272.73  25.25  37.63  31.44
27    1982    11  0.069  275.46  26.81  34.79  30.80
28    1982    12  0.085  278.05  27.87  35.91  31.89
29    1982    13  0.096  279.89  26.45  40.30  33.37
...    ...   ...    ...     ...    ...    ...    ...
1762  2016    30  0.478  298.65  85.26  40.97  63.12
1763  2016    31  0.462  298.79  81.16  39.41  60.29
1764  2016    32  0.441  298.64  76.54  37.84  57.19
1765  2016    33  0.420  298.55  72.03  32.17  52.10
1766  2016    34  0.396  297.90  67.00  29.87  48.44
1767  2016    35  0.371  297.12  63.28  25.55  44.42
1768  2016    36  0.346  296.78  60.75  13.70  37.22
1769  2016    37  0.312  295.12  55.52  14.31  34.92
1770  2016    38  0.280  292.93  49.22  20.82  35.02
1771  2016    39  0.243  289.42  38.42  43.77  41.09
1772  2016    40  0.208  285.55  28.52  67.07  47.79
1773  2016    41  0.176  282.16  22.62  74.78  48.70
1774  2016    42  0.144  277.91  18.36  81.19  49.78
1775  2016    43  0.117  274.11  16.61  80.31  48.46
1776  2016    44  0.099  271.03  16.93  73.34  45.14
1777  2016    45  0.081  267.43  15.53  71.61  43.57
1778  2016    46  0.071  263.85  17.66  72.93  45.30
1779  2016    47  0.062  260.30  20.11  76.80  48.46
1780  2016    48  0.059  258.84  25.55  76.02  50.79
1781  2016    49  0.059  258.82  30.81  70.20  50.50
1782  2016    50  0.055  257.79  33.41  66.60  50.01
1783  2016    51  0.053  257.16  36.99  60.77  48.88
1784  2016    52  0.051  256.66  38.07  56.66  47.36
1785  2017     1  0.049  257.13  38.54  50.62  44.58
1786  2017     2  0.047  257.62  37.62  48.48  43.05
1787  2017     3  0.044  258.15  35.98  47.84  41.91
1788  2017     4  0.042  258.38  33.33  48.72  41.03
1789  2017     5  0.039  258.35  29.85  51.64  40.74
1790  2017     6  0.037  257.86  25.75  58.43  42.09
1791  2017     7  0.035  258.08  21.76  63.66  42.71

[1792 rows x 7 columns]
